team	players	description	reversed	nullified	week	scorer	timestamp	off-turnover	manual-adjustment	comments
DAL	C.Beasley+T.McBride+T.Romo+D.Rodgers-Cromartie	(1:12) (No Huddle, Shotgun) T.Romo pass short right to C.Beasley to NYG 42 for 15 yards (T.McBride). FUMBLES (T.McBride), RECOVERED by NYG-D.Rodgers-Cromartie at NYG 43. D.Rodgers-Cromartie for 57 yards, TOUCHDOWN.	FALSE	FALSE	1					
DAL	T.Romo+D.Kennard+G.Escobar	(4:08) T.Romo pass short middle to G.Escobar for 2 yards, TOUCHDOWN [D.Kennard]. Pass caught in the back of the endzone.	FALSE	FALSE	1					
DAL	T.McBride+T.Romo+D.Street+B.Meriweather	(8:17) (Shotgun) T.Romo pass short left intended for D.Street INTERCEPTED by T.McBride (B.Meriweather) at DAL 20. T.McBride for 20 yards, TOUCHDOWN. The Replay Official reviewed the runner was in bounds ruling, and the play was REVERSED. (Shotgun) T.Romo pass short left intended for D.Street INTERCEPTED by T.McBride (B.Meriweather) at DAL 20. T.McBride ran ob at DAL 1 for 19 yards.	TRUE	FALSE	1					
NYG	R.Jennings	(8:09) R.Jennings up the middle for 1 yard, TOUCHDOWN.	FALSE	FALSE	1					
DAL	T.Romo+J.Witten	(5:11) (No Huddle, Shotgun) T.Romo pass short left to J.Witten for 1 yard, TOUCHDOWN. Pass caught at the goal line on a quick out pattern.	FALSE	FALSE	1					
DAL	T.Romo+J.Witten	(:13) (Shotgun) T.Romo pass short middle to J.Witten for 11 yards, TOUCHDOWN. Snap hit the ground; Romo picked it up before throwing to Witten at the goal line.	FALSE	FALSE	1					
ATL	J.Jones+M.Ryan	(10:50) (Shotgun) M.Ryan pass short left to J.Jones for 4 yards, TOUCHDOWN.	FALSE	FALSE	1					
ATL	J.Jones+M.Ryan	(:51) (Shotgun) M.Ryan pass deep right to J.Jones for 22 yards, TOUCHDOWN.	FALSE	FALSE	1					
PHI	D.Murray	(13:20) (No Huddle, Shotgun) D.Murray right end for 8 yards, TOUCHDOWN.	FALSE	FALSE	1					
PHI	R.Hageman+D.Murray+S.Bradford	(3:46) (No Huddle, Shotgun) S.Bradford pass short left to D.Murray for 5 yards, TOUCHDOWN [R.Hageman].	FALSE	FALSE	1					
PHI	R.Mathews	(8:42) (No Huddle, Shotgun) R.Mathews right guard for 1 yard, TOUCHDOWN.	FALSE	FALSE	1					
MIN	K.Reaser+B.Ellington+J.Locke	(6:01) J.Locke punts 44 yards to SF 15, Center-K.McDermott. B.Ellington for 85 yards, TOUCHDOWN NULLIFIED by Penalty. Penalty on SF-N.Bellore, Illegal Block Above the Waist, declined. PENALTY on SF-K.Reaser, Illegal Block Above the Waist, 7 yards, enforced at SF 14.	FALSE	TRUE	1					
SF	C.Hyde	(:55) (Shotgun) C.Hyde left end for 10 yards, TOUCHDOWN.	FALSE	FALSE	1					
SF	C.Hyde	(9:44) (Shotgun) C.Hyde right tackle for 17 yards, TOUCHDOWN.	FALSE	FALSE	1					
KC	J.Charles	(9:20) (Shotgun) J.Charles left end for 34 yards, TOUCHDOWN.	FALSE	FALSE	2					
DEN	M.Peters+D.Thomas+P.Manning	(6:37) (Shotgun) P.Manning pass short right intended for D.Thomas INTERCEPTED by M.Peters at KC 45. M.Peters for 55 yards, TOUCHDOWN.	FALSE	FALSE	2					
DEN	E.Sanders+P.Manning	(2:36) (Shotgun) P.Manning pass short right to E.Sanders for 16 yards, TOUCHDOWN.	FALSE	FALSE	2					
DEN	P.Gaines+P.Manning+J.Norwood	(2:00) P.Manning pass short left to J.Norwood for 8 yards, TOUCHDOWN. The Replay Official reviewed the runner broke the plane ruling, and the play was REVERSED. P.Manning pass short left to J.Norwood to KC 1 for 7 yards (P.Gaines).	TRUE	FALSE	2					
DEN	V.Green+P.Manning	(:54) P.Manning pass short middle to V.Green for 1 yard, TOUCHDOWN.	FALSE	FALSE	2					
KC	K.Davis	(2:32) K.Davis left end for 8 yards, TOUCHDOWN.	FALSE	FALSE	2					
DEN	E.Sanders+P.Manning	(:40) (Shotgun) P.Manning pass deep left to E.Sanders for 19 yards, TOUCHDOWN.	FALSE	FALSE	2					
KC	B.Marshall+B.Roby+J.Charles	(:35) (Shotgun) J.Charles up the middle to KC 21 for 1 yard (B.Marshall). FUMBLES (B.Marshall), RECOVERED by DEN-B.Roby at KC 21. B.Roby for 21 yards, TOUCHDOWN. The Replay Official reviewed the fumble ruling, and the play was Upheld. The ruling on the field was confirmed.	FALSE	FALSE	2					
CAR	C.Newton+T.Ginn	(11:30) (No Huddle, Shotgun) C.Newton pass deep left to T.Ginn for 25 yards, TOUCHDOWN.	FALSE	FALSE	2					
HOU	R.Mallett+G.Graham	(8:35) (Shotgun) R.Mallett pass short middle to G.Graham for 7 yards, TOUCHDOWN.	FALSE	FALSE	2					
CAR	C.Newton	(1:10) C.Newton up the middle for 2 yards, TOUCHDOWN.	FALSE	FALSE	2					
