team	players	description	reversed	nullified	week	scorer	timestamp	off-turnover	manual-adjustment	comments	time-since-last
NYJ	J.Kerley+R.Fitzpatrick	(9:41) R.Fitzpatrick pass short right to J.Kerley for 7 yards, TOUCHDOWN.	FALSE	FALSE	3	Jeremy Kerley	1443382707619	FALSE	FALSE		87.053
IND	P.Dorsett+A.Luck	(6:58) (Shotgun) A.Luck pass deep middle to P.Dorsett for 35 yards, TOUCHDOWN.	FALSE	FALSE	3	Phillip Dorsett	1443382848037	FALSE	FALSE		140.418
IND	A.Luck+D.Moncrief	(5:59) (Shotgun) A.Luck pass short left to D.Moncrief for 11 yards, TOUCHDOWN.	FALSE	FALSE	3	Donte Moncrief	1443383195457	FALSE	FALSE		347.42
ATL	J.Jones+M.Ryan	(3:09) (Shotgun) M.Ryan pass short right to J.Jones for 2 yards, TOUCHDOWN. Pass complete near right corner of the end zone off fake handoff to the left and roll right.	FALSE	FALSE	3	Julio Jones	1443383237261	FALSE	FALSE		41.804
NE	L.Blount	(3:34) L.Blount right tackle for 1 yard, TOUCHDOWN. NE 35 1st downs ties franchise record (10/7/12 vs Denver)	FALSE	FALSE	3	LeGarrette Blount	1443383266161	FALSE	FALSE		28.9
NO	K.Robinson	(4:55) K.Robinson left end for 2 yards, TOUCHDOWN.	FALSE	FALSE	3	Khiry Robinson	1443383313273	FALSE	FALSE		47.112
HOU	A.Blue	(9:19) A.Blue left tackle for 20 yards, TOUCHDOWN.	FALSE	FALSE	3	Alfred Blue	1443383434739	FALSE	FALSE		121.466
BAL	E.Dumervil+C.Mosley+A.Dalton	(7:02) (Shotgun) A.Dalton sacked at CIN 38 for -6 yards (E.Dumervil). FUMBLES (E.Dumervil), RECOVERED by BAL-C.Mosley at CIN 41. C.Mosley for 41 yards, TOUCHDOWN.	FALSE	FALSE	3	C.J. Mosley	1443383508026	TRUE	TRUE	Fixed team	73.287
CLE	T.Benjamin+J.McCown	(6:32) (Shotgun) J.McCown pass short right to T.Benjamin for 4 yards, TOUCHDOWN.	FALSE	FALSE	3	Travis Benjamin	1443383747143	FALSE	FALSE		239.117
IND	F.Gore	(2:57) (Shotgun) F.Gore right end for 6 yards, TOUCHDOWN.	FALSE	FALSE	3	Frank Gore	1443383816129	FALSE	FALSE		68.986
SD	K.Clemens+K.Allen	(:36) (Shotgun) K.Clemens pass deep middle to K.Allen for 19 yards, TOUCHDOWN.	FALSE	FALSE	3	Keenan Allen	1443383893907	FALSE	FALSE		77.778
CIN	A.Dalton+A.Green	(6:49) (Shotgun) A.Dalton pass deep left to A.Green for 80 yards, TOUCHDOWN.	FALSE	FALSE	3	A.J. Green	1443383894306	FALSE	FALSE		0.399
JAC	C.Harbor+B.Bortles	(1:27) (No Huddle, Shotgun) B.Bortles pass short middle to C.Harbor for 6 yards, TOUCHDOWN.	FALSE	FALSE	3	Clay Harbor	1443383960189	FALSE	FALSE		65.883
