t,value
1440883325,56/2397
1440883327,56/2397
1440883327,56/2397
1440883328,57/1750
1440883329,57/1750
1440883330,57/1750
1440883331,57/1750
1440883332,57/1750
1440883333,18/899
1440883334,18/899
1440883335,18/899
1440883336,18/899
1440883337,18/899
1440883338,8/291
1440883339,8/291
1440883340,8/291
1440883341,8/291
1440883342,8/291
1440883343,39/1276
1440883344,39/1276
1440883345,39/1276
1440883346,39/1276
1440883347,39/1276
1440883348,5/593
1440883349,5/593
1440883350,5/593
1440883351,5/593
1440883352,5/593
1440883353,0
1440883354,0
1440883355,0
1440883356,0
1440883357,0
1440883358,14/1475
1440883359,14/1475
1440883360,14/1475
1440883361,14/1475
1440883362,14/1475
1440883363,57/1820
1440883364,57/1820
1440883365,57/1820
1440883366,57/1820
1440883367,57/1820
1440883368,0
1440883369,0
1440883370,0
1440883371,0
1440883372,0
1440883373,7/675
1440883374,7/675
1440883375,7/675
1440883376,7/675
1440883377,7/675
1440883378,11/1084
1440883379,11/1084
1440883380,11/1084
1440883381,11/1084
1440883382,11/1084
1440883383,0
1440883384,0
1440883385,0
1440883386,0
1440883387,0
1440883388,1/33
1440883389,1/33
1440883390,1/33
1440883391,1/33
1440883392,1/33
1440883393,20/901
1440883394,20/901
1440883395,20/901
1440883396,20/901
1440883397,20/901
1440883398,17/1826
1440883399,17/1826
1440883400,17/1826
1440883401,17/1826
1440883402,17/1826
1440883403,32/1575
1440883404,32/1575
1440883405,32/1575
1440883406,32/1575
1440883407,32/1575
1440883408,0
1440883409,0
1440883410,0
1440883411,0
1440883412,0
1440883413,0
1440883414,0
1440883415,0
1440883416,0
1440883417,0
1440883418,27/889
1440883419,27/889
1440883420,27/889
1440883421,27/889
1440883422,27/889
1440883423,48/1789
1440883424,48/1789
1440883425,48/1789
1440883426,48/1789
1440883427,48/1789
1440883428,1/91
1440883429,1/91
1440883430,1/91
1440883431,1/91
1440883432,1/91
1440883433,52/1409
1440883434,52/1409
1440883435,52/1409
1440883436,52/1409
1440883437,52/1409
1440883438,8/855
1440883439,8/855
1440883440,8/855
1440883441,8/855
1440883442,8/855
1440883443,3/358
1440883444,3/358
1440883445,3/358
1440883446,3/358
1440883447,3/358
1440883448,33/1165
1440883449,33/1165
1440883450,33/1165
1440883451,33/1165
1440883452,33/1165
1440883453,16/1621
1440883454,16/1621
1440883455,16/1621
1440883456,16/1621
1440883457,16/1621
1440883458,0
1440883459,0
1440883460,0
1440883461,0
1440883462,0
1440883463,0
1440883464,0
1440883465,0
1440883466,0
1440883467,0
1440883468,13/1275
1440883469,13/1275
1440883470,13/1275
1440883471,13/1275
1440883472,13/1275
1440883473,0
1440883474,0
