t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1440882654,1,0.002855,0.000637,0.063327,0.136317,events/second
1440882655,1,0.002847,0.000637,0.063327,0.136317,events/second
1440882656,1,0.002839,0.000637,0.063327,0.136317,events/second
1440882657,1,0.002831,0.000637,0.063327,0.136317,events/second
1440882658,1,0.002823,0.000637,0.063327,0.136317,events/second
1440882659,1,0.002815,0.000586,0.062281,0.135562,events/second
1440882660,1,0.002807,0.000586,0.062281,0.135562,events/second
1440882661,1,0.002799,0.000586,0.062281,0.135562,events/second
1440882662,1,0.002792,0.000586,0.062281,0.135562,events/second
1440882663,1,0.002784,0.000586,0.062281,0.135562,events/second
1440882664,1,0.002776,0.000539,0.061251,0.134811,events/second
1440882665,1,0.002768,0.000539,0.061251,0.134811,events/second
1440882666,1,0.002761,0.000539,0.061251,0.134811,events/second
1440882667,1,0.002753,0.000539,0.061251,0.134811,events/second
1440882668,1,0.002746,0.000539,0.061251,0.134811,events/second
1440882669,1,0.002738,0.000496,0.060239,0.134064,events/second
1440882670,1,0.002731,0.000496,0.060239,0.134064,events/second
1440882671,1,0.002723,0.000496,0.060239,0.134064,events/second
1440882672,1,0.002716,0.000496,0.060239,0.134064,events/second
1440882673,1,0.002708,0.000496,0.060239,0.134064,events/second
1440882674,1,0.002701,0.000456,0.059243,0.133321,events/second
1440882675,1,0.002694,0.000456,0.059243,0.133321,events/second
1440882676,1,0.002687,0.000456,0.059243,0.133321,events/second
1440882677,1,0.002679,0.000456,0.059243,0.133321,events/second
1440882678,1,0.002672,0.000456,0.059243,0.133321,events/second
1440882679,1,0.002665,0.000420,0.058264,0.132583,events/second
1440882680,1,0.002658,0.000420,0.058264,0.132583,events/second
1440882681,1,0.002651,0.000420,0.058264,0.132583,events/second
1440882682,1,0.002644,0.000420,0.058264,0.132583,events/second
1440882683,1,0.002637,0.000420,0.058264,0.132583,events/second
1440882684,1,0.002630,0.000386,0.057301,0.131848,events/second
1440882685,1,0.002623,0.000386,0.057301,0.131848,events/second
1440882686,1,0.002616,0.000386,0.057301,0.131848,events/second
1440882687,1,0.002609,0.000386,0.057301,0.131848,events/second
1440882688,1,0.002603,0.000386,0.057301,0.131848,events/second
1440882689,1,0.002596,0.000355,0.056354,0.131118,events/second
1440882690,1,0.002589,0.000355,0.056354,0.131118,events/second
1440882691,1,0.002583,0.000355,0.056354,0.131118,events/second
1440882692,1,0.002576,0.000355,0.056354,0.131118,events/second
1440882693,1,0.002569,0.000355,0.056354,0.131118,events/second
1440882694,1,0.002563,0.000327,0.055422,0.130391,events/second
1440882695,1,0.002556,0.000327,0.055422,0.130391,events/second
1440882696,1,0.002549,0.000327,0.055422,0.130391,events/second
1440882697,1,0.002543,0.000327,0.055422,0.130391,events/second
1440882698,1,0.002537,0.000327,0.055422,0.130391,events/second
1440882699,1,0.002530,0.000301,0.054506,0.129669,events/second
1440882700,1,0.002524,0.000301,0.054506,0.129669,events/second
1440882701,1,0.002518,0.000301,0.054506,0.129669,events/second
1440882702,1,0.002511,0.000301,0.054506,0.129669,events/second
1440882703,1,0.002505,0.000301,0.054506,0.129669,events/second
1440882704,1,0.002498,0.000277,0.053605,0.128950,events/second
1440882705,1,0.002492,0.000277,0.053605,0.128950,events/second
1440882706,1,0.002486,0.000277,0.053605,0.128950,events/second
1440882707,1,0.002480,0.000277,0.053605,0.128950,events/second
1440882708,1,0.002474,0.000277,0.053605,0.128950,events/second
1440882709,1,0.002468,0.000255,0.052719,0.128236,events/second
1440882710,1,0.002462,0.000255,0.052719,0.128236,events/second
1440882711,1,0.002456,0.000255,0.052719,0.128236,events/second
1440882712,1,0.002450,0.000255,0.052719,0.128236,events/second
1440882713,1,0.002444,0.000255,0.052719,0.128236,events/second
1440882714,1,0.002438,0.000234,0.051848,0.127526,events/second
1440882715,1,0.002432,0.000234,0.051848,0.127526,events/second
1440882716,1,0.002426,0.000234,0.051848,0.127526,events/second
1440882717,1,0.002420,0.000234,0.051848,0.127526,events/second
1440882718,1,0.002414,0.000234,0.051848,0.127526,events/second
1440882719,1,0.002408,0.000215,0.050991,0.126819,events/second
1440882720,1,0.002402,0.000215,0.050991,0.126819,events/second
1440882721,1,0.002397,0.000215,0.050991,0.126819,events/second
1440882722,1,0.002391,0.000215,0.050991,0.126819,events/second
1440882723,1,0.002385,0.000215,0.050991,0.126819,events/second
1440882724,1,0.002380,0.000198,0.050148,0.126117,events/second
1440882725,1,0.002374,0.000198,0.050148,0.126117,events/second
1440882726,1,0.002368,0.000198,0.050148,0.126117,events/second
1440882727,1,0.002363,0.000198,0.050148,0.126117,events/second
1440882728,1,0.002357,0.000198,0.050148,0.126117,events/second
1440882729,1,0.002352,0.000182,0.049319,0.125418,events/second
1440882730,1,0.002346,0.000182,0.049319,0.125418,events/second
1440882731,1,0.002341,0.000182,0.049319,0.125418,events/second
1440882732,1,0.002335,0.000182,0.049319,0.125418,events/second
1440882733,1,0.002330,0.000182,0.049319,0.125418,events/second
1440882734,1,0.002324,0.000168,0.048504,0.124723,events/second
1440882735,1,0.002319,0.000168,0.048504,0.124723,events/second
1440882736,1,0.002314,0.000168,0.048504,0.124723,events/second
1440882737,1,0.002308,0.000168,0.048504,0.124723,events/second
1440882738,1,0.002303,0.000168,0.048504,0.124723,events/second
1440882739,1,0.002298,0.000154,0.047703,0.124032,events/second
1440882740,1,0.002292,0.000154,0.047703,0.124032,events/second
1440882741,1,0.002287,0.000154,0.047703,0.124032,events/second
1440882742,1,0.002282,0.000154,0.047703,0.124032,events/second
1440882743,1,0.002277,0.000154,0.047703,0.124032,events/second
1440882744,1,0.002272,0.000142,0.046914,0.123345,events/second
1440882745,1,0.002266,0.000142,0.046914,0.123345,events/second
1440882746,1,0.002261,0.000142,0.046914,0.123345,events/second
1440882747,1,0.002256,0.000142,0.046914,0.123345,events/second
1440882748,1,0.002251,0.000142,0.046914,0.123345,events/second
1440882749,1,0.002246,0.000131,0.046139,0.122661,events/second
1440882750,1,0.002241,0.000131,0.046139,0.122661,events/second
