"t.bucket","td.sum","rt.sum"
1.418612e+12,2,6
1418612005000,3,6
1418612010000,2,3
1418612015000,2,6
1418612020000,2,6
1418612025000,2,3
1418612030000,2,11
1418612035000,4,4
1418612040000,4,9
1418612045000,1,8
1418612050000,2,10
1418612055000,2,5
1418612060000,2,7
1418612065000,3,6
1418612070000,0,7
1418612075000,2,6
1418612080000,4,8
1418612085000,0,5
1418612090000,2,4
1418612095000,1,5
1418612100000,2,7
1418612105000,0,9
1418612110000,4,12
1418612115000,3,8
1418612120000,4,8
1418612125000,1,8
1418612130000,5,10
1418612135000,3,3
1418612140000,2,8
1418612145000,6,13
1418612150000,9,16
1418612155000,4,7
1418612160000,3,5
1418612165000,2,3
1418612170000,5,9
1418612175000,0,5
1418612180000,1,14
1418612185000,4,7
1418612190000,2,8
1418612195000,1,7
1418612200000,1,6
1418612205000,2,10
1418612210000,1,10
1418612215000,6,8
1418612220000,2,8
1418612225000,2,6
1418612230000,1,4
1418612235000,3,8
1418612240000,1,1
1418612245000,3,7
1418612250000,3,11
1418612255000,1,4
1418612260000,2,7
1418612265000,0,4
1418612270000,1,6
1418612275000,1,8
1418612280000,1,6
1418612285000,3,8
1418612290000,4,10
1418612295000,1,2
1418612300000,2,9
1418612305000,2,2
1418612310000,3,8
1418612315000,0,0
1418612320000,1,5
1418612325000,4,7
1418612330000,4,13
1418612335000,1,3
1418612340000,0,1
1418612345000,2,7
1418612350000,3,5
1418612355000,4,11
1418612360000,1,5
1418612365000,1,11
1418612370000,1,7
1418612375000,2,2
1418612380000,1,2
1418612385000,0,2
1418612390000,1,1
1418612395000,2,4
1418612400000,2,6
1418612405000,0,4
1418612410000,2,5
1418612415000,2,9
1418612420000,2,5
1418612425000,4,4
1418612430000,1,4
1418612435000,2,4
1418612440000,2,8
1418612445000,1,2
1418612450000,0,5
1418612455000,1,6
1418612460000,1,4
1418612465000,3,5
1418612470000,0,2
1418612475000,1,5
1418612480000,2,4
1418612485000,0,3
1418612490000,0,5
1418612495000,1,4
1418612500000,2,4
1418612505000,1,4
1418612510000,1,8
1418612515000,2,4
1418612520000,0,3
1418612525000,2,3
1418612530000,2,5
1418612535000,0,4
1418612540000,1,2
1418612545000,4,7
1418612550000,0,8
1418612555000,0,4
1418612560000,1,4
1418612565000,2,7
1418612570000,2,3
1418612575000,0,6
1418612580000,1,3
1418612585000,3,9
1418612590000,1,5
1418612595000,2,4
1418612600000,1,6
1418612605000,1,5
1418612610000,1,2
1418612615000,1,0
1418612620000,2,2
1418612625000,2,5
1418612630000,1,10
1418612635000,1,6
